content,labels
저거 역무원들도 욕하고 역장이 뗏었는데ㅋㅋㅋ 서울 지하철은 노조가 어러 개라 노조간 다툼이 있는듯,0
물론 그렇기는 한데 사실 그거는 아프가니스탄 정부와 군대의 잘못이지 그냥 일반 아프가니스탄 국민들은 아무런 죄와 잘못이 업잖아요 아니 그리고 특히 아직 나이어린 애기들과 아이들이 도대체 무슨 잘못을 하고 죄가 있다고 저렇게 가족들과 생이별을 하고 그래야돼 정말 슬프고 안타까우면서 화나고 열받고 빡친다 진짜,0
아다쉑들이 초등학생 11명 성폭행한 김근식 보다 2.5배 많네ㅋㅋㅋ,0
부흥의매이 ㄷㄷ,0
뇌절,0
침싸개새끼 어떻게든 어그로 돌리려고 ㅋㅋ,1
음...원문 링크 들어가면 볼 수 있어.,0
위는 진짜짐승같긔,0
대깨문 대깨명새끼들 헐레벌떡 비추튀 ㅋㅋㅋ,2
행동을 했으면 책임도 지는것이다,0
플레 4정도 되나?,0
응 아니야,0
둘이 천생연분같음 ~^^,0
도라에몽 공익 ㅋㅋㅋ,0
가면 이상한 요리해줌?,0
닌자네,0
두개가 똑같은것도 알겟고 두개다 많이 쓰이는 용어인것도 불만없는데 공식명칭은 하나라고 이해는 너가 못하는데 댓글달아서 뭐함?,0
피드백 할 노예는 많으니까 언제든지  챈에 말만하라굿,0
조선의 천박한 의식은 바로 '공부'에 대한 개념 인식에 있다.조선에서 공부란 말 그대로 공부를 위한 공부일 뿐. 국영수 시험쳐서 점수 매기는 '수험'을 공부라고 생각하는 아주 천박한 의식이다.용접을 하기 위해 전기나 가스의 특성을 이해하고 금속의 성질을 터득하며 용접행위를 통해 생활에 유용한 여러 가치를 창출해 내는 그 모든 과정이 다 '공부'다.근데 정작 조선에서 공부를 잘한다는 사람들이 국영수 배워서 남들에게 유용한 도움을 주는게 뭐가 있냐?수험으로서 배운 국영수가 대체 사회와 공동체 국가에 어떤 창의적이고 실용적인 도움이 되는거냐?저 여자강사처럼 기껏 수학 배워봤자 인류 발전을 위해서 쓰는게 아니라 그저 애들 수학 '점수' 높여주는데만 활용함. 그게 다임.정작 현실에 어떤 실용적으로 활용되는게 아니라 그저 시험의 '점수'만 높이려는게 이 천박한 조선의 공부다.이딴 썩어빠진 나라에 무슨 창의력이 있고 기술 발전이 있고 문화 발전이 있겠냐.그저 선진국들 시다바리나 하면서 평생 하청이나 받아 쳐먹고 살아야지.. ㅉㅉ,0
누가 누가 더 나쁜놈인가 싸움이었어?,0
바알라후 아크바르,0
현실 : 의느님은 군대도 장교로 가고 개백성들은 현역으로 끌려감 ㅋㅋ 꼬우면 의대가^^,0
ㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋ,0
핸드폰도 화면 크기만 하면 된다 어짜피 동영상만 본다 해서 로우급에 화면 큰거만 찾는 사람도 많고.. 반대로 화면 작은거만 찾는 사람도 있고 수요는 존나 다양하고 예측할수 없음,0
최고야!,0
이전부터 이노유저로 유우명한 양반임,0
난 솔직히 요즘 작화보다 저때 작화가 더 맘에 듬,0
GHK의 킬링벌스를 모아서 들어보자,0
"1등 시민분들께서 선즙짜고 ""해줘""하면 되는 나라자너ㅋㅋ",0
지원가의 폭주를 보고싶구만/ 개추개추,0
장제원 아들 가릴려고 별짓 다한다 ㅋㅋ,0
애들아 진지하게 질문하나 하자내가 고기를 존나게 좋아한다 특히 돼지고기삼겹살을 진짜 삼시세끼 매일 먹고 싶은데 정육점이나 고기집하면 고기 매일 먹을수 있냐? 진짜 진지함 정육점이나 고기집 들어가서 직원으로 일하면 매일 고기 먹냐? 고기 먹는 직업좀 알려줘라 나 그러면 평생 일할수 있음 (돈 많이 벌어서 그돈으로 고기 많이 사먹으란 개씹소리는 하지말고 ),0
병신들ㅋㅋㅋ 저 여자 게스트가 누군지도 모르나보네,1
무식해서 질문좀하자 여자들은 왜 학교 못오게 하는거?,0
쟤네는 투수가 타자 몸 맞춰도 사과 안 하니까 역으로 저것도 사과 안 하겠지?,0
저거 다 미국돈 아닌가? 미국이 잡아서 오체분시하고 펜타곤에 대가리 걸어놔도 ㅇㅈ함,0
돈써가며 또 보빨짓하겠지ㅋㅋ 요새 그런년 많다 받을거받고 섹스나할라고 만남. 그돈 지딸한테나 쓰지 ㅉㅉ,1
합성 자연스럽네 ㅋㅋㅋㅋ,0
코렁탕 엔딩 개추 ㅋㅋㅋㅋ,0
우리 노조새끼들은 평화를 원하거든 전쟁을 준비하라는 말도 모르냐? 그리고 남북 통신연락선은 북이 수시로 폭파했다 복구했다 하는 건데 왜 그게 마지막 기회냐? 존나 병신같네 ㅅㅂㄴㄷ,0
우진이 바이럴 ㅂㅊ,0
게임이 아니라 유사도박 빠칭코인데 뭘 ㅇㅇ,0
머구 사막화 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
교과서네 ㅊㅊ,0
대본충 새끼 좆같긴함,1
그림체는 문제없이 좋으니까 기계찌찌랑 기계뷰지도 그려오샘,1
저런거 진짜 한번 큰 사건일어나야함 나엿으면 군의관새끼 똑같이만듬 . 이런 역지사지 사건 존나많이일어나야 세상은바뀜,0
그니까 일름보가 아니라 당당하게 신고하라는뜻 아니냐,0
듣보가 죽어도 조문오내,0
근데 생각보단 스멥한탠 대갈통 덜깨짐 큐베한태 제대로 깨졌지 ㅋㅋ,0
부패했군.... 안망하는게 이상하지.,0
머래 홍어새끼야 예전엔 돈이없어서 가방끈 짧았으니까 제조업으로라도 먹고살아야되서 인구많은 경상도에 공장 많이 지어서 용접공이 많은거지 경상도 애들이 머가리가 딸리는게 아니다 홍어색기야,1
왜 사 병신아,1
소워가 레이드가 캐쥬얼하고 트라이에 긴 시간을 붓지 않아도 되는 구조인것 같음 나도 다른 mmo 레이드 최종 레이드까지 박으면서 로아마냥 한명 실수하면 바로 처음부터 다시하는거 수십 수백번 반복하면서 스트레스 많이 받았음 결국 이게 성취감보다 크면 그 겜을 떠나게 되는듯,0
무쳤네 ㅋㅋㅋㅋㅋㅋ,0
가는의미가 어딧어 ㅂㅅ아,0
아 감우도 나이 존나 많지 ㅋㅋㅋㅋ,0
히오스크만큼 신고시스템 돌아가는 aos가 롤말고 더있냐고 ㅋㅋ 여기보다 더 사람많고 하는사람많은 롤도 좆같아하는 사람들 개많아도 악으로 깡으로 버티면서 다 하니깐 불평하지마라 게이야 ㅋㅋㅋ,0
왜 엉덩이 내미나 했는데 진짜 마킹하는 건가ㄷㄷㄷ,0
미래가 밝노,0
형래새끼 지좆되는건 싫어서 협조는 잘함,1
1류다,0
산재처리 해줘야지 뭔 받을돈이없어.... ㅡㅜ,0
이 온냐 앰흑페티쉬로 존나 유명하긔 존나 이쁜데ㅠㅠ,0
와 이걸 바꿨네 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
목소리도 ㄱㅊ아졋어,0
나 병있냐 소리 들을 정도로 하얀데 퍼컬 존나 탐 사바사,0
내 친구가 김수현 아나운서 사촌동생이란게 자랑스럽다 ㅎㅎ,0
자살못하게 빨리 막아라,0
어디 뭐 개 좆소 아닌이상 해당 분야 전문가가 임원 되는거지 전문가 되는게 개 좆으로 보이노?,1
승리도 승리지만 근데 나이트클럽 거의 다 그러지 않나,0
면허따고 운전도 거의 못해본 갓 급식 벗어난새끼가 좆대로 몰다가 처박았ㄴㅋㅋㅋ,2
씹병신 앰생 지잡대백수새끼들 또 싸우네 ㅋㅋㅋㅋㅋㅋㅋ 취직좀해라,2
갱플 vs 탱커 라인전이 탱커 입장에선 ㄹㅇ 지옥임 걍,0
문재앙이 뭐 덮으려고 연예인 터트리는건지 명백히밝히자,1
해외 야구 보는 새끼들 특징 = 인터넷 불법 도박 붙잡고 있는 도박충 새끼들,1
복대에 공중전화부 그리면 잘팔릴거 같긴해,0
뭔가 필립커플인 미나씨 닮은듯..미니미 미나,0
한국도 4로 표기하는곳 많다. 일본도 4없는건물 많고.,0
포기해라 ㅋㅋㅋ 논리가 없는 새끼를 이길려고 들지마라 니들만 피곤하다 아프간이 영국보다 안전하다는 놈을 가르치려 들고있네 ㅋㅋㅋ,0
아프겟네 곧,0
갱플 인피가면 1.25x1.25 이렇게들감?,0
헬반도에서는 착하게 살면 안 됨,0
여기 ㅈㄴ웃긴 게 비난하는 욕도 없고 그냥 18키로 찌우다니 대단하다란글밖에 없는데댓글이 찔리는 건지 누가봐도 여자라 그러네그러니까 안 먹어도 되는 욕을 먹는 거다 페미들아,0
박보검이 잘생겼다ㅡ공감 vs 방탄 뷔가 잘생겼다ㅡ비공,0
lg 데리고 가주세요~,0
